Datetime,holiday,total
2020-01-01,1,211.45
2020-01-02,0,191.93
2020-01-03,0,211.77
2020-01-04,0,208.87
2020-01-05,0,192.49
2020-01-06,0,224.55
2020-01-07,1,219.01
2020-01-08,0,223.84
2020-01-09,0,228.02
2020-01-10,0,244.92
2020-01-11,0,251.48
2020-01-12,0,264.6
2020-01-13,0,256.51
2020-01-14,0,219.19
2020-01-15,0,231.49
2020-01-16,0,186.72
2020-01-17,0,208.51
2020-01-18,0,231.67
2020-01-19,0,169.68
2020-01-20,0,159.44
2020-01-21,0,198.55
2020-01-22,0,162.56
2020-01-23,0,149.75
2020-01-24,0,151.19
2020-01-25,0,146.88
2020-01-26,0,147.23
2020-01-27,0,148.76
2020-01-28,0,154.17
2020-01-29,0,137.11
2020-01-30,0,153.05
2020-01-31,0,161.12
2020-02-01,0,153.82
2020-02-02,0,152.68
2020-02-03,0,147.59
2020-02-04,0,147.33
2020-02-05,0,144.48
2020-02-06,0,145.37
2020-02-07,0,144.9
2020-02-08,0,146.22
2020-02-09,0,144.71
2020-02-10,0,151.2
2020-02-11,0,147.88
2020-02-12,0,132.62
2020-02-13,0,158.02
2020-02-14,0,147.74
2020-02-15,0,151.55
2020-02-16,0,156.4
2020-02-17,0,125.77
2020-02-18,0,126.4
2020-02-19,0,133.39
2020-02-20,0,133.26
2020-02-21,0,132.55
2020-02-22,0,130.04
2020-02-23,0,202.42
2020-02-24,0,195.96
2020-02-25,0,202.8
2020-02-26,0,222.77
2020-02-27,0,199.62
2020-02-28,0,186.32
2020-02-29,0,200.8888657
2020-03-01,0,187.61
2020-03-02,0,188.27
2020-03-03,0,185.3
2020-03-04,0,164.98
2020-03-05,0,165.97
2020-03-06,1,170.78
2020-03-07,0,206.4
2020-03-08,0,206.31
2020-03-09,0,200.98
2020-03-10,0,195.57
2020-03-11,0,201.47
2020-03-12,0,215.48
2020-03-13,0,213.13
2020-03-14,0,182.69
2020-03-15,0,166.18
2020-03-16,0,168.9
2020-03-17,0,187.54
2020-03-18,0,220.92
2020-03-19,0,215.84
2020-03-20,0,211.66
2020-03-21,0,222.05
2020-03-22,0,223.91
2020-03-23,0,221.18
2020-03-24,0,222.73
2020-03-25,0,221.89
2020-03-26,0,258.43
2020-03-27,0,275.93
2020-03-28,0,271.03
2020-03-29,0,258.41
2020-03-30,0,276.95
2020-03-31,0,269.75
2020-04-01,0,272.52
2020-04-02,0,216.01
2020-04-03,0,261.58
2020-04-04,0,265.12
2020-04-05,0,258.27
2020-04-06,0,272.1
2020-04-07,0,272.64
2020-04-08,0,261.06
2020-04-09,0,262.55
2020-04-10,1,254.16
2020-04-11,0,262.28
2020-04-12,0,273.73
2020-04-13,1,274.54
2020-04-14,0,271.58
2020-04-15,0,260.72
2020-04-16,0,253.97
2020-04-17,0,244.8
2020-04-18,0,250.43
2020-04-19,0,216.32
2020-04-20,0,239.12
2020-04-21,0,269.06
2020-04-22,0,266.08
2020-04-23,0,250.86
2020-04-24,0,247.94
2020-04-25,0,247.93
2020-04-26,0,232.04
2020-04-27,0,259.67
2020-04-28,0,272.24
2020-04-29,0,268.63
2020-04-30,0,277.3
2020-05-01,1,266.92
2020-05-02,0,252.18
2020-05-03,0,250.81
2020-05-04,0,256.91
2020-05-05,0,250.18
2020-05-06,0,275.05
2020-05-07,0,280.96
2020-05-08,0,280.55
2020-05-09,0,283.94
2020-05-10,0,227.92
2020-05-11,0,281.33
2020-05-12,0,267.4
2020-05-13,0,246.92
2020-05-14,0,242.84
2020-05-15,0,244.99
